"","","","","","beta_1","beta_2","alpha_1","","","",""
"120","cds-hrp-w","1","30","20",NA,NA,NA,"0.694558837525527","8.52715597743091","125.160628505216","43.1928850072366"
"121","mmds-2","1","30","21","5.05839123750864","-1.74388366188087","-0.307597357226833","3.89145478676863","-1.78290957353727","125.160628505216","128.387738450106"
"122","mmds-1","1","30","21","0.0874848707386318",NA,NA,"0.95290309613477","0.0941938077304592","125.160628505216","36.7352869286795"
"123","cds-hnc","1","30","21",NA,NA,NA,"0.816656286199241","0.0941938077304776","125.160628505216","36.7351608099676"
"124","cds-hrp","1","30","21",NA,NA,NA,NA,NA,NA,NA
"125","cds-hnc-w","1","30","21",NA,NA,NA,"0.816656286199241","0.0941938077304776","125.160628505216","36.7351608099676"
"126","cds-hrp-w","1","30","21",NA,NA,NA,NA,NA,NA,NA
"127","mmds-2","1","30","22","-0.0620875655105075","-2.2023209534976","-0.366811826767964","1.38570741025118","3.22858517949763","125.160628505216","206.903656887562"
"128","mmds-1","1","30","22","-0.487665414108444",NA,NA,"-0.668377657616197","3.33675531523239","125.160628505216","54.1625141915142"
"129","cds-hnc","1","30","22",NA,NA,NA,"0.553899738328312","3.3367553152324","125.160628505216","54.1614265616752"
"130","cds-hrp","1","30","22",NA,NA,NA,"0.8638636353077","70.1644576738525","125.160628505216","34.7277032784396"
"131","cds-hnc-w","1","30","22",NA,NA,NA,"0.553899738328312","3.3367553152324","125.160628505216","54.1614265616752"
"132","cds-hrp-w","1","30","22",NA,NA,NA,"0.904887588747172","2.93912754542409","125.160628505216","33.1532892848441"
"133","mmds-2","1","30","23","-0.342005120735967","-2.81224256713421","-0.594481328927779","1.91528032516824","2.16943934966353","125.160628505216","427.625223352936"
"134","mmds-1","1","30","23","-0.543891795377682",NA,NA,"-0.365320172217864","2.73064034443573","125.160628505216","57.5701969272833"
"135","cds-hnc","1","30","23",NA,NA,NA,"0.521110494293809","2.73064034443574","125.160628505216","57.5693645177017"
"136","cds-hrp","1","30","23",NA,NA,NA,"0.124343155412456","2.5532048752622","125.160628505216","241.267803607586"
"137","cds-hnc-w","1","30","23",NA,NA,NA,"0.521110494293809","2.73064034443574","125.160628505216","57.5693645177017"
"138","cds-hrp-w","1","30","23",NA,NA,NA,"0.124343155412456","2.5532048752622","125.160628505216","241.267803607586"
"139","mmds-2","1","30","24","6.21522397431921","-2.02026886320355","-0.776920165664418","2.0276169775708","1.94476604485839","125.160628505216","303.093776133332"
"140","mmds-1","1","30","24","-0.682930647671323",NA,NA,"-4.01818572365928","10.0363714473186","125.160628505216","68.4297098219556"
"141","cds-hnc","1","30","24",NA,NA,NA,"0.43840874228249","10.0363714473186","125.160628505216","68.4292923626723"
"142","cds-hrp","1","30","24",NA,NA,NA,"0.365374996032965","11.0471400762688","125.160628505216","82.1074247710517"
"143","cds-hnc-w","1","30","24",NA,NA,NA,"0.43840874228249","10.0363714473186","125.160628505216","68.4292923626723"
"144","cds-hrp-w","1","30","24",NA,NA,NA,"0.365374996032965","11.0471400762688","125.160628505216","82.1074247710517"
"145","mmds-2","1","30","25","-0.47404568130962","-2.04005861364698","0.0806515378489542","2.15160749270135","1.69678501459731","125.160628505216","131.322386395904"
"146","mmds-1","1","30","25","-0.624584093369851",NA,NA,"1.65527298519873","-1.31054597039746","125.160628505216","63.3979181660802"
"147","cds-hnc","1","30","25",NA,NA,NA,"0.473191034913259","-1.31054597039707","125.160628505216","63.3993414636423"
"148","cds-hrp","1","30","25",NA,NA,NA,"0.903921089591971","1.06928480072294","125.160628505216","33.1887377619898"
"149","cds-hnc-w","1","30","25",NA,NA,NA,"0.473191034913259","-1.31054597039707","125.160628505216","63.3993414636423"
"150","cds-hrp-w","1","30","25",NA,NA,NA,NA,NA,NA,NA
"151","mmds-2","1","30","26","4.39765771977619","-2.26130445209501","-0.604129352829227","3.03417881943558","-0.0683576388711602","125.160628505216","254.706323316376"
"152","mmds-1","1","30","26","-0.207154784202205",NA,NA,"-0.727483186531982","3.45496637306396","125.160628505216","42.7678130576113"
"153","cds-hnc","1","30","26",NA,NA,NA,"0.701466929045464","3.45496637306396","125.160628505216","42.7675186923254"
"154","cds-hrp","1","30","26",NA,NA,NA,"1.00323019134882","6.86613111901609","125.160628505216","29.9034062757477"
"155","cds-hnc-w","1","30","26",NA,NA,NA,"0.701466929045464","3.45496637306396","125.160628505216","42.7675186923254"
"156","cds-hrp-w","1","30","26",NA,NA,NA,"1.00323019134882","6.86613111901609","125.160628505216","29.9034062757477"
"157","mmds-2","1","30","27","3.93933258758475","-1.16828583636547","-0.113187447439511","2.52360210526475","0.952795789470496","125.160628505216","73.7533119368946"
"158","mmds-1","1","30","27","-0.423512474001773",NA,NA,"1.78738523219543","-1.57477046439086","125.160628505216","50.8214526289647"
"159","cds-hnc","1","30","27",NA,NA,NA,"0.590292463457791","-1.57477046439045","125.160628505216","50.8222649909288"
"160","cds-hrp","1","30","27",NA,NA,NA,"0.427247285308068","2.17432426418762","125.160628505216","70.2169470272196"
"161","cds-hnc-w","1","30","27",NA,NA,NA,"0.590292463457791","-1.57477046439045","125.160628505216","50.8222649909288"
"162","cds-hrp-w","1","30","27",NA,NA,NA,"0.697850974628075","3.13341678996236","125.160628505216","42.9891210168313"
"163","mmds-2","1","30","28","0.0392742475917017","-1.74121648272189","-0.0146541827994522","2.22986413969883","1.54027172060235","125.160628505216","101.810029925311"
"164","mmds-1","1","30","28","-0.426037022850494",NA,NA,"1.51941342469483","-1.03882684938966","125.160628505216","50.9430285800053"
"165","cds-hnc","1","30","28",NA,NA,NA,"0.588884730721209","-1.03882684938929","125.160628505216","50.9437559422858"
"166","cds-hrp","1","30","28",NA,NA,NA,"0.919817354194916","-1.08557712033687","125.160628505216","32.6151706783766"
"167","cds-hnc-w","1","30","28",NA,NA,NA,"0.588884730721209","-1.03882684938929","125.160628505216","50.9437559422858"
"168","cds-hrp-w","1","30","28",NA,NA,NA,"0.919817354194916","-1.08557712033687","125.160628505216","32.6151706783766"
"169","mmds-2","1","30","29","6.11156221910341","-2.52229904140613","-0.864365233789711","4.31062230598263","-2.62124461196527","125.160628505216","454.93847513044"
"170","mmds-1","1","30","29","-0.106666240450004",NA,NA,"-2.37800259008504","6.75600518017007","125.160628505216","40.2350000492635"
"171","cds-hnc","1","30","29",NA,NA,NA,"0.745601752969631","6.75600518017007","125.160628505216","40.2359569039559"
"172","cds-hrp","1","30","29",NA,NA,NA,NA,NA,NA,NA
"173","cds-hnc-w","1","30","29",NA,NA,NA,"0.745601752969631","6.75600518017007","125.160628505216","40.2359569039559"
"174","cds-hrp-w","1","30","29",NA,NA,NA,NA,NA,NA,NA
"175","mmds-2","1","30","30","5.31253637782548","-1.76051815965037","-0.495454633600564","2.84112907378067","0.317741852438651","125.160628505216","170.127156150511"
"176","mmds-1","1","30","30","-0.542921646578593",NA,NA,"-0.319398515053164","2.63879703010633","125.160628505216","57.5071804936854"
"177","cds-hnc","1","30","30",NA,NA,NA,"0.521681780107288","2.63879703010635","125.160628505216","57.5063211788426"
"178","cds-hrp","1","30","30",NA,NA,NA,NA,NA,NA,NA
"179","cds-hnc-w","1","30","30",NA,NA,NA,"0.521681780107288","2.63879703010635","125.160628505216","57.5063211788426"
"180","cds-hrp-w","1","30","30",NA,NA,NA,NA,NA,NA,NA
"181","mmds-2","1","30","31","-0.592760887758289","-2.15108817392585","0.0059749234739709","1.29268167924994","3.41463664150013","125.160628505216","167.634412455169"
"182","mmds-1","1","30","31","-0.72507631666074",NA,NA,"0.546058669442132","0.907882661115737","125.160628505216","72.5635110459561"
"183","cds-hnc","1","30","31",NA,NA,NA,"0.413436030479073","0.907882661115756","125.160628505216","72.5626161929748"
"184","cds-hrp","1","30","31",NA,NA,NA,"0.775478367940555","1.92179554379029","125.160628505216","38.685798650543"
"185","cds-hnc-w","1","30","31",NA,NA,NA,"0.413436030479073","0.907882661115756","125.160628505216","72.5626161929748"
"186","cds-hrp-w","1","30","31",NA,NA,NA,"0.775478367940555","1.92179554379029","125.160628505216","38.685798650543"
"187","mmds-2","1","30","32","-0.519283147732903","-1.82406238082379","0.0821032927952676","1.82749565609499","2.34500868781003","125.160628505216","130.01979080063"
"188","mmds-1","1","30","32","-0.710994561601884",NA,NA,"1.23867654734028","-0.477353094680564","125.160628505216","71.1322305878796"
"189","cds-hnc","1","30","32",NA,NA,NA,"0.421755587424578","-0.477353094680549","125.160628505216","71.1312449544367"
