"" "" "" "" "beta_1" "beta_2" "alpha_1" "" "" "" ""
"2" "mmds-1" "3" "120" "17" "-0.680390541368055" NA NA "0.86001570607177" "0.27996858785646" "551.406297689244" "272.778344281402"
"3" "cds-hnc" "3" "120" "17" NA NA NA "0.439917643245054" "0.27996858785673" "551.406297689244" "272.778329859243"
"4" "cds-hrp" "3" "120" "17" NA NA NA "0.582976561340732" "10.90450800712" "551.406297689244" "205.840179447393"
"1" "mmds-2" "3" "120" "20" "0.0061734127403335" "-1.79983459609397" "-0.473576135023491" "4.77119126299798" "-3.54238252599596" "551.406297689244" "797.114409698597"
"2" "mmds-1" "3" "120" "20" "-0.7359500442366" NA NA "-7.43559968110654" "16.8711993622131" "551.406297689244" "294.818747050613"
"3" "cds-hnc" "3" "120" "20" NA NA NA "0.407029746053278" "16.8711993622132" "551.406297689244" "294.818747680157"
"4" "cds-hrp" "3" "120" "20" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "24" "-0.154012283672393" "-1.91056855888351" "-0.289651899581661" "4.86862809147874" "-3.73725618295748" "551.406297689244" "691.250452441439"
"2" "mmds-1" "3" "120" "24" "-0.622690456539595" NA NA "-2.58624157207699" "7.17248314415397" "551.406297689244" "252.987637629085"
"3" "cds-hnc" "3" "120" "24" NA NA NA "0.474331433048722" "7.17248314415464" "551.406297689244" "252.987661451637"
"4" "cds-hrp" "3" "120" "24" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "26" "-0.538823625982097" "-4.45218482295268" "-1.05070084870303" "2.28597240513826" "1.42805518972347" "551.406297689244" "6623.89726460893"
"2" "mmds-1" "3" "120" "26" "-0.563393622295032" NA NA "-0.707939047194272" "3.41587809438854" "551.406297689244" "235.482197259942"
"3" "cds-hnc" "3" "120" "26" NA NA NA "0.509592666816073" "3.41587809438864" "551.406297689244" "235.482195514622"
"4" "cds-hrp" "3" "120" "26" NA NA NA "0.619602828010645" "10.7777423152097" "551.406297689244" "193.672453667268"
"1" "mmds-2" "3" "120" "23" "3.45210628490971" "-1.59585468923297" "-0.285490977276924" "6.37995535220125" "-6.7599107044025" "551.406297689244" "464.48107218701"
"2" "mmds-1" "3" "120" "23" "-0.480578242909187" NA NA "0.111059864655062" "1.77788027068988" "551.406297689244" "215.065556628934"
"3" "cds-hnc" "3" "120" "23" NA NA NA "0.55796940648663" "1.77788027068991" "551.406297689244" "215.065554858294"
"4" "cds-hrp" "3" "120" "23" NA NA NA "0.670873123190444" "9.37623170335496" "551.406297689244" "178.87137798772"
"1" "mmds-2" "3" "120" "30" "4.26937553070334" "-1.56574765820326" "-0.231688929737134" "8.18034183528708" "-10.3606836705742" "551.406297689244" "425.810043266981"
"2" "mmds-1" "3" "120" "30" "-0.397163655272499" NA NA "1.94934001663001" "-1.89868003326001" "551.406297689244" "198.38869779788"
"3" "cds-hnc" "3" "120" "30" NA NA NA "0.604873159112349" "-1.89868003325996" "551.406297689244" "198.388700494001"
"4" "cds-hrp" "3" "120" "30" NA NA NA "0.701119405173463" "4.61838531235535" "551.406297689244" "171.154869077274"
"1" "mmds-2" "3" "120" "19" "-0.140474252092605" "-1.72154594583681" "-0.175751344453617" "6.55990363029879" "-7.11980726059757" "551.406297689244" "540.465121463062"
"2" "mmds-1" "3" "120" "19" "-0.625066881953516" NA NA "1.39084616408399" "-0.781692328167983" "551.406297689244" "253.746143370953"
"3" "cds-hnc" "3" "120" "19" NA NA NA "0.472913590973589" "-0.781692328167908" "551.406297689244" "253.746143672791"
"4" "cds-hrp" "3" "120" "19" NA NA NA "0.611307142303954" "4.11523984367644" "551.406297689244" "196.300667366215"
"1" "mmds-2" "3" "120" "28" "5.40836317405701" "-1.59718125643973" "-0.356021445823053" "1.80564890207915" "2.38870219584171" "551.406297689244" "510.554175694693"
"2" "mmds-1" "3" "120" "28" "-0.540104210049131" NA NA "-5.9408682489735" "13.881736497947" "551.406297689244" "229.300209322181"
"3" "cds-hnc" "3" "120" "28" NA NA NA "0.523331401481805" "13.8817364979471" "551.406297689244" "229.300209504382"
"4" "cds-hrp" "3" "120" "28" NA NA NA "0.0470436768262263" "3.32356692070827" "551.406297689244" "2550.82102624048"
"1" "mmds-2" "3" "120" "3" "5.87730745224741" "-1.57794450463207" "-0.309329376675225" "5.16422107725365" "-4.32844215450731" "551.406297689244" "474.813144391001"
"2" "mmds-1" "3" "120" "3" "-0.509685390141979" NA NA "-1.7437699358742" "5.48753987174839" "551.406297689244" "221.758114458948"
"3" "cds-hnc" "3" "120" "3" NA NA NA "0.541130141936515" "5.48753987174846" "551.406297689244" "221.758114546275"
"4" "cds-hrp" "3" "120" "3" NA NA NA "0.669745391458328" "14.1621170821992" "551.406297689244" "179.172565471048"
"1" "mmds-2" "3" "120" "32" "-0.13827105968932" "-2.03273463514402" "-0.354482697437767" "0.921767087345719" "4.15646582530856" "551.406297689244" "794.482514498623"
"2" "mmds-1" "3" "120" "32" "-0.59977538369684" NA NA "-8.22647390611011" "18.4529478122202" "551.406297689244" "245.905999533"
"3" "cds-hnc" "3" "120" "32" NA NA NA "0.487991350193515" "18.4529478122202" "551.406297689244" "245.905998031345"
"4" "cds-hrp" "3" "120" "32" NA NA NA "0.623831245213541" "28.241305487669" "551.406297689244" "192.359714138594"
"1" "mmds-2" "3" "120" "25" "7.82096287794726" "-1.50935378280763" "-0.32821852190135" "9.25982499982718" "-12.5196499996544" "551.406297689244" "467.213581837332"
"2" "mmds-1" "3" "120" "25" "-0.463944447045371" NA NA "-0.109389981289895" "2.21877996257979" "551.406297689244" "211.455987060278"
"3" "cds-hnc" "3" "120" "25" NA NA NA "0.567493969627715" "2.21877996257976" "551.406297689244" "211.455991468459"
"4" "cds-hrp" "3" "120" "25" NA NA NA "0.701445244634566" "10.8695571513619" "551.406297689244" "171.075363213157"
"1" "mmds-2" "3" "120" "29" "-0.384053761493354" "-1.95733323937184" "-0.379251822111059" "5.23172888424923" "-4.46345776849847" "551.406297689244" "916.97945110523"
"2" "mmds-1" "3" "120" "29" "-0.78559085135757" NA NA "-5.081682216582" "12.163364433164" "551.406297689244" "317.352499750494"
"3" "cds-hnc" "3" "120" "29" NA NA NA "0.378128422743765" "12.1633644331641" "551.406297689244" "317.352499262709"
"4" "cds-hrp" "3" "120" "29" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "9" "0.144012423621839" "-1.5407165940721" "-0.107266092952561" "7.62851940851206" "-9.25703881702413" "551.406297689244" "412.333427797302"
"2" "mmds-1" "3" "120" "9" "-0.538559529464563" NA NA "4.13851289906529" "-6.27702579813057" "551.406297689244" "228.903007982202"
"3" "cds-hnc" "3" "120" "9" NA NA NA "0.524239507134803" "-6.27702579813058" "551.406297689244" "228.903007817652"
"4" "cds-hrp" "3" "120" "9" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "35" "0.782545870366763" "-1.69834769974679" "-0.499397037204513" "8.13898609226456" "-10.2779721845291" "551.406297689244" "681.908208092281"
"2" "mmds-1" "3" "120" "35" "-0.670051572821076" NA NA "-3.04349396185094" "8.08698792370187" "551.406297689244" "269.013002457862"
"3" "cds-hnc" "3" "120" "35" NA NA NA "0.446075138326396" "8.08698792370262" "551.406297689244" "269.012974922165"
"4" "cds-hrp" "3" "120" "35" NA NA NA "0.601494854319437" "20.6505486771833" "551.406297689244" "199.502953580167"
"1" "mmds-2" "3" "120" "15" "5.85021117744652" "-1.54070311008304" "-0.516278087873388" "5.87234002167779" "-5.74468004335557" "551.406297689244" "600.130990016942"
"2" "mmds-1" "3" "120" "15" "-0.713476110739147" NA NA "-4.07530498605574" "10.1506099721115" "551.406297689244" "285.522855068754"
"3" "cds-hnc" "3" "120" "15" NA NA NA "0.4202815940093" "10.1506099721115" "551.406297689244" "285.522853511745"
"4" "cds-hrp" "3" "120" "15" NA NA NA "0.599309913533733" "25.8108795902892" "551.406297689244" "200.230293693024"
"1" "mmds-2" "3" "120" "31" "9.33767951957033" "-1.46583395234814" "-0.418419953980922" "5.04852507449596" "-4.09705014899192" "551.406297689244" "505.043553567917"
"2" "mmds-1" "3" "120" "31" "-0.668955120811129" NA NA "-1.61736993132184" "5.23473986264369" "551.406297689244" "268.619524075509"
"3" "cds-hnc" "3" "120" "31" NA NA NA "0.446728548364725" "5.23473986264407" "551.406297689244" "268.619501572637"
"4" "cds-hrp" "3" "120" "31" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "41" "1.60192584295262" "-1.6387594998624" "-0.313819796358179" "0.976141465190308" "4.04771706961938" "551.406297689244" "497.051817743301"
"2" "mmds-1" "3" "120" "41" "-0.499600534534174" NA NA "-6.12516448602263" "14.2503289720453" "551.406297689244" "219.3833580593"
"3" "cds-hnc" "3" "120" "41" NA NA NA "0.546987704490748" "14.2503289720454" "551.406297689244" "219.383359104427"
"4" "cds-hrp" "3" "120" "41" NA NA NA "0.660100201446707" "22.0366071917364" "551.406297689244" "181.790582304023"
"1" "mmds-2" "3" "120" "34" "5.14743160668767" "-1.71772841800664" "-0.408442421693037" "5.80380010274643" "-5.60760020549286" "551.406297689244" "586.855613266785"
"2" "mmds-1" "3" "120" "34" "-0.501404522842533" NA NA "-4.68073655169812" "11.3614731033962" "551.406297689244" "219.803717240975"
"3" "cds-hnc" "3" "120" "34" NA NA NA "0.545941630136359" "11.3614731033962" "551.406297689244" "219.803717789441"
"4" "cds-hrp" "3" "120" "34" NA NA NA "0.674139055507039" "19.0061620026477" "551.406297689244" "178.004818174708"
"1" "mmds-2" "3" "120" "37" "-0.486580837108424" "-1.78283767384886" "-0.0652808276185699" "4.12328443569357" "-2.24656887138715" "551.406297689244" "598.368156238652"
"2" "mmds-1" "3" "120" "37" "-0.756117385668734" NA NA "0.0218150719816393" "1.95636985603672" "551.406297689244" "303.629431246239"
"3" "cds-hnc" "3" "120" "37" NA NA NA "0.395218599501507" "1.95636985603673" "551.406297689244" "303.629434827604"
"4" "cds-hrp" "3" "120" "37" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "47" "-0.114345715100511" "-1.50564434707119" "-0.0152223823653392" "5.97273236185969" "-5.94546472371938" "551.406297689244" "398.145073019037"
"2" "mmds-1" "3" "120" "47" "-0.591090555808584" NA NA "3.39374560781939" "-4.78749121563878" "551.406297689244" "243.328856203321"
"3" "cds-hnc" "3" "120" "47" NA NA NA "0.493159753427231" "-4.78749121563882" "551.406297689244" "243.328858784716"
"4" "cds-hrp" "3" "120" "47" NA NA NA "0.614377305668516" "3.50635728001492" "551.406297689244" "195.319714600177"
"1" "mmds-2" "3" "120" "40" "0.577667842963341" "-1.67049353110438" "-0.333268967745556" "7.07618495156753" "-8.15236990313506" "551.406297689244" "545.547088908474"
"2" "mmds-1" "3" "120" "40" "-0.563066994052925" NA NA "0.119767762528702" "1.7604644749426" "551.406297689244" "235.392934178222"
"3" "cds-hnc" "3" "120" "40" NA NA NA "0.509785898105358" "1.76046447494254" "551.406297689244" "235.39293739977"
"4" "cds-hrp" "3" "120" "40" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "46" "4.56592693852704" "-1.51061168028619" "-0.137811716116905" "8.31974608115612" "-10.6394921623122" "551.406297689244" "367.251788845352"
"2" "mmds-1" "3" "120" "46" "-0.356520835302651" NA NA "4.12950617279151" "-6.25901234558302" "551.406297689244" "191.435420270884"
"3" "cds-hnc" "3" "120" "46" NA NA NA "0.626843244753233" "-6.25901234558295" "551.406297689244" "191.43542026562"
