"","","","","","","","","1","","",""
"122","cds-hrp-w","1","30","61",NA,NA,NA,"0.819113159180239","-2.31259960844006","125.160628505216","36.6249762487319"
"123","cds-hnc-w","1","30","62",NA,NA,NA,"0.69270740874431","-1.50188236826856","125.160628505216","43.3083284822691"
"124","cds-hrp-w","1","30","62",NA,NA,NA,"0.795761112180422","0.241169418301161","125.160628505216","37.6997562972116"
"125","cds-hnc-w","1","30","63",NA,NA,NA,"0.419425634637181","1.83295283198245","125.160628505216","71.5263863782459"
"126","cds-hrp-w","1","30","63",NA,NA,NA,"0.560197374121987","3.84996323276465","125.160628505216","53.5525537709273"
"127","cds-hnc-w","1","30","64",NA,NA,NA,"0.381424548453208","5.25529113120827","125.160628505216","78.6525149512769"
"128","cds-hrp-w","1","30","64",NA,NA,NA,NA,NA,NA,NA
"129","cds-hnc-w","1","30","65",NA,NA,NA,"0.554254247810411","3.20651075346499","125.160628505216","54.1267840860317"
"130","cds-hrp-w","1","30","65",NA,NA,NA,NA,NA,NA,NA
"131","cds-hnc-w","1","30","66",NA,NA,NA,"0.593215584396472","-6.56523149284558","125.160628505216","50.5718338983315"
"132","cds-hrp-w","1","30","66",NA,NA,NA,"0.636078626462001","-2.70854771950881","125.160628505216","47.1639806023135"
"133","cds-hnc-w","1","30","67",NA,NA,NA,"0.443684272704447","2.86350382021554","125.160628505216","67.6156488872978"
"134","cds-hrp-w","1","30","67",NA,NA,NA,"0.616668322411469","9.20898586978945","125.160628505216","48.6485180277878"
"135","cds-hnc-w","1","30","68",NA,NA,NA,"0.519632870363365","3.20044696427782","125.160628505216","57.7330683084421"
"136","cds-hrp-w","1","30","68",NA,NA,NA,NA,NA,NA,NA
"137","cds-hnc-w","1","30","69",NA,NA,NA,"0.480951561742817","-1.60484502785835","125.160628505216","62.3763438698264"
"138","cds-hrp-w","1","30","69",NA,NA,NA,NA,NA,NA,NA
"139","cds-hnc-w","1","30","70",NA,NA,NA,"0.40343332406722","10.1463511824989","125.160628505216","74.3617302050176"
"140","cds-hrp-w","1","30","70",NA,NA,NA,"0.566452435047456","13.5903001247836","125.160628505216","52.9611987588802"
"141","cds-hnc-w","1","30","71",NA,NA,NA,"0.82318623249585","-0.715936911853382","125.160628505216","36.4437581870652"
"142","cds-hrp-w","1","30","71",NA,NA,NA,NA,NA,NA,NA
"143","cds-hnc-w","1","30","72",NA,NA,NA,"0.942905540222485","-3.72004464722026","125.160628505216","31.8165486575901"
"144","cds-hrp-w","1","30","72",NA,NA,NA,"1","-3.69411246946895","125.160628505216","30"
