"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"950","cds-hnc","2","60","117",NA,NA,NA,"0.544739876923393","-19.784402882229"
"951","cds-hrp","2","60","117",NA,NA,NA,"0.388621370870617","-22.2057605946465"
"952","2","60","118","21.0213831191685","-36.0427662383371","0.262409556399138","228.650209326741","233.843094975339","2"
"953","cds-hnc","2","60","118",NA,NA,NA,"0.519166413552729","-21.6140256439983"
"954","cds-hrp","2","60","118",NA,NA,NA,"0.259127441668171","-36.2519613255077"
"955","2","60","119","8.0979471602483","-14.1958943204966","0.589393206302691","101.79961248007","233.843094975339","1"
"956","cds-hnc","2","60","119",NA,NA,NA,"0.589393202284445","-14.1958943204966"
"957","cds-hrp","2","60","119",NA,NA,NA,"0.498533380616999","-14.143013274829"
"958","2","60","120","10.0304923961085","-18.0609847922169","0.5574396915536","107.634961968313","233.843094975339","1"
"959","cds-hnc","2","60","120",NA,NA,NA,"0.557439692063123","-18.0609847922169"
"960","cds-hrp","2","60","120",NA,NA,NA,"0.421000423624784","-19.3009474789747"
"961","2","60","121","14.8287403258141","-23.6574806516282","0.311581320189703","192.566101085487","233.843094975339","2"
"962","cds-hnc","2","60","121",NA,NA,NA,NA,NA
"963","cds-hrp","2","60","121",NA,NA,NA,NA,NA
"964","2","60","122","30.1825729797479","-54.3651459594959","0.0223526699612301","2684.24309507847","233.843094975339","2"
"965","cds-hnc","2","60","122",NA,NA,NA,"0.388369645901465","-52.3531696224937"
"966","cds-hrp","2","60","122",NA,NA,NA,NA,NA
"967","2","60","123","12.8427863379944","-19.6855726759889","0.355562932737306","168.746498793024","233.843094975339","2"
"968","cds-hnc","2","60","123",NA,NA,NA,"0.563938495390063","-17.2217478764043"
"969","cds-hrp","2","60","123",NA,NA,NA,"0.324982185281395","-21.9851549577059"
"970","2","60","124","27.0284466404691","-48.0568932809382","0.316036369849177","189.851566858061","233.843094975339","2"
"971","cds-hnc","2","60","124",NA,NA,NA,"0.427856785255898","-41.8558920245912"
"972","cds-hrp","2","60","124",NA,NA,NA,NA,NA
"973","2","60","125","30.491461870894","-54.982923741788","0.286179555626976","209.658582593537","233.843094975339","2"
"974","cds-hnc","2","60","125",NA,NA,NA,"0.420534968607616","-43.6733218519123"
"975","cds-hrp","2","60","125",NA,NA,NA,"0.238538922016881","-54.5904217923105"
