"","","","","","","","1","","",""
"114","cds-hnc-w","1","30","23","ll","-17.2042624998281","0.451323653623451","66.4711449514003","59.4346982654428","mt"
"115","cds-hnc-w","1","30","23","ll","-18.0240386653958","0.590056951875353","50.842549866843","59.4346982654428","mt"
"116","mmds-MS","1","30","24","3.79616243112496","-1.59232486224991","0.262814607273821","114.148906376211","59.4346982654428","2"
"117","cds-hnc","1","30","24",NA,NA,NA,NA,NA,NA
"118","cds-hrp","1","30","24",NA,NA,NA,NA,NA,NA
"119","cds-hnc-w","1","30","24","ll","1.70464455047847","0.746633647257664","40.1803483009211","59.4346982654428","mt"
"120","cds-hrp-w","1","30","24",NA,NA,NA,NA,NA,NA
"121","mmds-MS","1","30","25","1.48970582694862","-0.979411653897247","0.7185648759109","41.7498836997425","59.4346982654428","1"
"122","cds-hnc","1","30","25","ll","-0.979411653897238","0.718564871530425","41.7498839542558","59.4346982654428","mt"
"123","cds-hnc","1","30","25","ll","-1.64735779383502","0.78669829765159","38.1340598925336","59.4346982654428","mt"
"124","cds-hnc-w","1","30","25","ll","-0.979411653897238","0.718564871530425","41.7498839542558","59.4346982654428","mt"
"125","cds-hnc-w","1","30","25","ll","-1.64735779383502","0.78669829765159","38.1340598925336","59.4346982654428","mt"
"126","mmds-MS","1","30","26","4.26792435718114","-6.53584871436228","0.581668114519287","51.5758028524447","59.4346982654428","1"
"127","cds-hnc","1","30","26","ll","-6.53584871436227","0.581668111549976","51.5758031157299","59.4346982654428","mt"
"128","cds-hnc","1","30","26","ll","-6.08460274547829","0.658554785592818","45.5542965540742","59.4346982654428","mt"
"129","cds-hnc-w","1","30","26","ll","-6.53584871436227","0.581668111549976","51.5758031157299","59.4346982654428","mt"
"130","cds-hnc-w","1","30","26","ll","-6.08460274547829","0.658554785592818","45.5542965540742","59.4346982654428","mt"
"131","mmds-MS","1","30","27","8.40897074231142","-14.8179414846228","0.474153575292672","63.2706396476763","59.4346982654428","1"
"132","cds-hnc","1","30","27","ll","-14.8179414846228","0.474153574340095","63.2706397747873","59.4346982654428","mt"
"133","cds-hnc","1","30","27","ll","-12.3081189473836","0.620213451045703","48.3704439970125","59.4346982654428","mt"
"134","cds-hnc-w","1","30","27","ll","-14.8179414846228","0.474153574340095","63.2706397747873","59.4346982654428","mt"
"135","cds-hnc-w","1","30","27","ll","-12.3081189473836","0.620213451045703","48.3704439970125","59.4346982654428","mt"
"136","mmds-MS","1","30","28","2.21155315902942","-2.42310631805885","0.671537545645218","44.6736004480223","59.4346982654428","1"
"137","cds-hnc","1","30","28","ll","-2.42310631805882","0.671537540227811","44.6736008084118","59.4346982654428","mt"
"138","cds-hnc","1","30","28","ll","-1.03584685572125","0.691530436205187","43.3820384893349","59.4346982654428","mt"
"139","cds-hnc-w","1","30","28","ll","-2.42310631805882","0.671537540227811","44.6736008084118","59.4346982654428","mt"
"140","cds-hnc-w","1","30","28","ll","-1.03584685572125","0.691530436205187","43.3820384893349","59.4346982654428","mt"
"141","mmds-MS","1","30","29","3.37021340903239","-4.74042681806478","0.615599509465906","48.7329823021269","59.4346982654428","1"
"142","cds-hnc","1","30","29","ll","-4.74042681806478","0.615599506184227","48.7329825619159","59.4346982654428","mt"
"143","cds-hrp","1","30","29",NA,NA,NA,NA,NA,NA
"144","cds-hnc-w","1","30","29","ll","-4.74042681806478","0.615599506184227","48.7329825619159","59.4346982654428","mt"
"145","cds-hrp-w","1","30","29",NA,NA,NA,NA,NA,NA
"146","mmds-MS","1","30","30","4.94362440116007","-7.88724880232014","0.559633660075579","53.6064967856803","59.4346982654428","1"
"147","cds-hnc","1","30","30","ll","-7.88724880232013","0.559633663635837","53.6064964446483","59.4346982654428","mt"
"148","cds-hnc","1","30","30","ll","-6.57154350234913","0.592965488175184","50.5931636802729","59.4346982654428","mt"
"149","cds-hnc-w","1","30","30","ll","-7.88724880232013","0.559633663635837","53.6064964446483","59.4346982654428","mt"
"150","cds-hnc-w","1","30","30","ll","-6.57154350234913","0.592965488175184","50.5931636802729","59.4346982654428","mt"
"151","mmds-MS","1","30","31","1.85903095454508","-1.71806190909017","0.692854711660009","43.2991210063695","59.4346982654428","1"
"152","cds-hnc","1","30","31","ll","-1.71806190908975","0.69285479341345","43.2991158972873","59.4346982654428","mt"
"153","cds-hnc","1","30","31","ll","-0.619160080936719","0.794215516176611","37.7731225202214","59.4346982654428","mt"
"154","cds-hnc-w","1","30","31","ll","-1.71806190908975","0.69285479341345","43.2991158972873","59.4346982654428","mt"
"155","cds-hnc-w","1","30","31","ll","-0.619160080936719","0.794215516176611","37.7731225202214","59.4346982654428","mt"
"156","mmds-MS","1","30","32","2.62200263366424","-3.24400526732849","0.649648621691637","46.1788095876848","59.4346982654428","1"
"157","cds-hnc","1","30","32","ll","-3.24400526732787","0.649648704146279","46.178803726583","59.4346982654428","mt"
"158","cds-hnc","1","30","32","ll","-3.45125799164945","0.71449229263017","41.9878567053044","59.4346982654428","mt"
"159","cds-hnc-w","1","30","32","ll","-3.24400526732787","0.649648704146279","46.178803726583","59.4346982654428","mt"
"160","cds-hnc-w","1","30","32","ll","-3.45125799164945","0.71449229263017","41.9878567053044","59.4346982654428","mt"
"161","mmds-MS","1","30","33","5.27160905338114","-8.54321810676227","0.549783908624441","54.5668935183279","59.4346982654428","1"
"162","cds-hnc","1","30","33","ll","-8.54321810676226","0.54978390790508","54.5668935897256","59.4346982654428","mt"
"163","cds-hnc","1","30","33","ll","-6.96233608023288","0.39510976834191","75.9282670380332","59.4346982654428","mt"
"164","cds-hnc-w","1","30","33","ll","-8.54321810676226","0.54978390790508","54.5668935897256","59.4346982654428","mt"
"165","cds-hnc-w","1","30","33","ll","-6.96233608023288","0.39510976834191","75.9282670380332","59.4346982654428","mt"
"166","mmds-MS","1","30","34","1.4042742737808","-0.808548547561609","0.725141339514696","41.3712449769829","59.4346982654428","1"
"167","cds-hnc","1","30","34","ll","-0.808548547561599","0.725141339232923","41.3712449930588","59.4346982654428","mt"
"168","cds-hnc","1","30","34","ll","0.0197549443850198","0.509733667687578","58.8542642986403","59.4346982654428","mt"
"169","cds-hnc-w","1","30","34","ll","-0.808548547561599","0.725141339232923","41.3712449930588","59.4346982654428","mt"
"170","cds-hrp-w","1","30","34",NA,NA,NA,NA,NA,NA
"171","mmds-MS","1","30","35","7.49485221577724","-12.9897044315545","0.493460166545542","60.7951807133986","59.4346982654428","1"
"172","cds-hnc","1","30","35","ll","-12.9897044315545","0.49346016721159","60.7951806313403","59.4346982654428","mt"
"173","cds-hnc","1","30","35","ll","-12.0780347414411","0.492008439936396","60.9745637775608","59.4346982654428","mt"
"174","cds-hnc-w","1","30","35","ll","-12.9897044315545","0.49346016721159","60.7951806313403","59.4346982654428","mt"
"175","cds-hnc-w","1","30","35","ll","-12.0780347414411","0.492008439936396","60.9745637775608","59.4346982654428","mt"
"176","mmds-MS","1","30","36","9.30167854452038","-12.6033570890408","0.207929136761011","144.279923763072","59.4346982654428","2"
"177","cds-hnc","1","30","36","ll","-12.043095409588","0.504206649805283","59.4994136066741","59.4346982654428","mt"
"178","cds-hnc","1","30","36","ll","-9.69463498647511","0.588074203078112","51.0139704189936","59.4346982654428","mt"
"179","cds-hnc-w","1","30","36","ll","-12.043095409588","0.504206649805283","59.4994136066741","59.4346982654428","mt"
"180","cds-hnc-w","1","30","36","ll","-9.69463498647511","0.588074203078112","51.0139704189936","59.4346982654428","mt"
"181","mmds-MS","1","30","37","2.34775601074829","-2.69551202149658","0.663964588822605","45.1831325119286","59.4346982654428","1"
"182","cds-hnc","1","30","37","ll","-2.69551202149656","0.663964586907833","45.1831326422299","59.4346982654428","mt"
"183","cds-hnc","1","30","37","ll","-2.30838850361732","0.76892371916103","39.0155736549952","59.4346982654428","mt"
"184","cds-hnc-w","1","30","37","ll","-2.69551202149656","0.663964586907833","45.1831326422299","59.4346982654428","mt"
"185","cds-hrp-w","1","30","37",NA,NA,NA,NA,NA,NA
"186","mmds-MS","1","30","38","7.3833804000608","-12.7667608001216","0.495941257402052","60.4910350817606","59.4346982654428","1"
"187","cds-hnc","1","30","38","ll","-12.7667608001216","0.495941261865707","60.4910345373189","59.4346982654428","mt"
"188","cds-hnc","1","30","38","ll","-10.7520335356016","0.564130002959791","53.1792314583529","59.4346982654428","mt"
"189","cds-hnc-w","1","30","38","ll","-12.7667608001216","0.495941261865707","60.4910345373189","59.4346982654428","mt"
"190","cds-hnc-w","1","30","38","ll","-10.7520335356016","0.564130002959791","53.1792314583529","59.4346982654428","mt"
"191","mmds-MS","1","30","39","3.71998013260237","-5.43996026520473","0.601634102529793","49.8641946556119","59.4346982654428","1"
"192","cds-hnc","1","30","39","ll","-5.43996026520385","0.601634014073899","49.8642019869493","59.4346982654428","mt"
"193","cds-hnc","1","30","39","ll","-7.14632682171577","0.721592391935148","41.5747177150064","59.4346982654428","mt"
"194","cds-hnc-w","1","30","39","ll","-5.43996026520385","0.601634014073899","49.8642019869493","59.4346982654428","mt"
