"","","","","beta_1","","","",""
"52",3,30,52,-0.70198427989745,3.92123576247539,-5.84247152495078,50.5006986589011,82.6870750996765
"53",3,30,53,-1.45388760868913,21.8488464756824,-41.6976929513647,102.443594621296,82.6870750996765
"54",3,30,54,-0.929031919810285,7.68174040177898,-13.3634808035580,61.3038284526345,82.6870750996765
"55",3,30,55,-0.272191084004618,0.871670713897636,0.256658572204729,38.75955662511,82.6870750996765
"56",3,30,56,-0.423471627928530,1.51511511383969,-1.03023022767938,41.8608586634569,82.6870750996765
"57",3,30,57,-1.0704819414804,10.9448153199904,-19.8896306399809,70.0655221519967,82.6870750996765
"58",3,30,58,-0.971689804796977,8.59640879636799,-15.1928175927360,63.7750366315938,82.6870750996765
"59",3,30,59,-0.855605860170168,6.26058720853422,-10.5211744170684,57.3871463203236,82.6870750996765
"60",3,30,60,-0.853270287203772,6.21863117793663,-10.4372623558733,57.2694238519026,82.6870750996765
"61",3,30,61,-0.760485727419097,4.71337223835453,-7.42674447670906,52.9230385346611,82.6870750996765
"62",3,30,62,-0.89934387682823,7.08340643787505,-12.1668128757501,59.6694486646045,82.6870750996765
"63",3,30,63,-0.834704181772466,5.89226794295166,-9.78453588590332,56.3483919665283,82.6870750996765
"64",3,30,64,-0.575975067506335,2.58462970543782,-3.16925941087564,46.0453119190385,82.6870750996765
"65",3,30,65,-0.999055398649676,9.21603249101582,-16.4320649820316,65.4375771344511,82.6870750996765
"66",3,30,66,-0.792021930784009,5.18994963131658,-8.37989926263316,54.3291305422934,82.6870750996765
"67",3,30,67,-0.87018144404286,6.52696721676419,-11.0539344335284,58.1312699470688,82.6870750996765
"68",3,30,68,-0.476368717090375,1.82910668224713,-1.65821336449426,43.17821568486,82.6870750996765
"69",3,30,69,-0.714005765162238,4.07452601582527,-6.14905203165055,50.9792128315128,82.6870750996765
"70",3,30,70,-0.681239274074844,3.66786415723981,-5.33572831447962,49.6977386960271,82.6870750996765
"71",3,30,71,-0.79192472763662,5.1884259944865,-8.376851988973,54.3246857449558,82.6870750996765
"72",3,30,72,-0.60257527927843,2.82826882716843,-3.65653765433686,46.9043844689502,82.6870750996765
"73",3,30,73,-0.962806098835003,8.4006969302089,-14.8013938604178,63.2483546550221,82.6870750996765
"74",3,30,74,-1.34928963811676,18.7358134124216,-35.4716268248431,92.2785344798912,82.6870750996765
"75",3,30,75,-0.568292154749053,2.51777282075661,-3.03554564151321,45.8048384249108,82.6870750996765
"76",3,30,76,-0.935505685637714,7.81642679569977,-13.6328535913995,61.6694908303961,82.6870750996765
"77",3,30,77,-0.666915157425348,3.50097299821101,-5.00194599642203,49.1598641687747,82.6870750996765
"78",3,30,78,-0.432677042082808,1.56592441419585,-1.13184882839169,42.0806342993432,82.6870750996765
"79",3,30,79,-0.888441387749602,6.87172561553243,-11.7434512310649,59.0866447193462,82.6870750996765
"80",3,30,80,-0.60611780031349,2.86217797216170,-3.72435594432341,47.0219482981931,82.6870750996765
"81",3,30,81,-1.21257907910219,14.7682095562417,-27.5364191124834,80.5403904357926,82.6870750996765
"82",3,30,82,-0.846293697625419,6.0945031741028,-10.1890063482056,56.9202548795928,82.6870750996765
"83",3,30,83,-0.91794941072981,7.45465522316388,-12.9093104463278,60.6855727281621,82.6870750996765
"84",3,30,84,-0.800579031074491,5.32542931054492,-8.65085862108984,54.7231355065483,82.6870750996765
"85",3,30,85,-0.602399578647929,2.82659603768408,-3.65319207536815,46.8985731169804,82.6870750996765
"86",3,30,86,-0.673878111565242,3.58128818441275,-5.1625763688255,49.4196533254708,82.6870750996765
"87",3,30,87,-0.747756205242829,4.53098752223022,-7.06197504446045,52.3756542597633,82.6870750996765
"88",3,30,88,-0.0871534689021206,0.434086088200458,1.13182782359908,36.0346386053469,82.6870750996765
"89",3,30,89,-0.962837558480986,8.40138542100085,-14.8027708420017,63.2502085583927,82.6870750996765
"90",3,30,90,-0.715941898273207,4.09966471127430,-6.19932942254859,51.0571977745994,82.6870750996765
"91",3,30,91,-0.937403234867745,7.85618838613266,-13.7123767722653,61.7773039308906,82.6870750996765
"92",3,30,92,-0.810406678986026,5.48430625645909,-8.96861251291819,55.1822986839388,82.6870750996765
"93",3,30,93,-0.937323481987744,7.85451453225931,-13.7090290645186,61.7727668308785,82.6870750996765
"94",3,30,94,-1.04969172854177,10.42591050347,-18.85182100694,68.6751005370879,82.6870750996765
"95",3,30,95,-0.824390721010636,5.71645668246503,-9.43291336493007,55.8480237569036,82.6870750996765
"96",3,30,96,-1.10028710929956,11.7092410855982,-21.4184821711964,72.1215023030428,82.6870750996765
"97",3,30,97,-0.915660950131829,7.40831487149475,-12.8166297429895,60.5591187509104,82.6870750996765
"98",3,30,98,-1.28872241241627,16.9566739572861,-31.9133479145722,86.87010382513,82.6870750996765
"99",3,30,99,-1.08637919949737,11.3496438632424,-20.6992877264847,71.1529114409545,82.6870750996765
"100",3,30,100,-0.517606630649989,2.11379728518586,-2.22759457037173,44.3009799468039,82.6870750996765
