"","","","","beta_1","beta_2","alpha_1","","","",""
"34",2,30,34,3.47203551259185,-2.96276655652102,-0.129002724744094,2.51586474838743,0.968270503225149,97.9910052009935,58.4022943300631
"35",2,30,35,4.40983564467871,-1.58808684800634,0.103822337781748,1.94714886173156,2.10570227653688,55.5057379202173,58.4022943300631
"36",2,30,36,-2.53469656833252,-0.8786819065877,-0.218955806801785,7.44957119887741,-8.89914239775483,71.0843650266731,58.4022943300631
"37",2,30,37,-0.727266186971193,-4.20912729876086,0.143576222658386,5.25665060643254,-4.51330121286507,121.140541347925,58.4022943300631
"38",2,30,38,-3.27621444077581,-0.810657017613242,-0.57556618446341,5.62637948135604,-5.25275896271207,61.0223748534004,58.4022943300631
"39",2,30,39,-4.25118754507704,-0.735846790129083,0.0073014972990943,4.6019754023741,-3.20395080474820,75.9706266535252,58.4022943300631
"40",2,30,40,-3.60391760745168,-0.776442267024528,0.0359258979074351,5.46431324274009,-4.92862648548018,79.116456116837,58.4022943300631
"41",2,30,41,-3.5751363367421,-0.413507290725002,-0.0237062763643721,1.71665149509629,2.56669700980741,59.0886541272501,58.4022943300631
"42",2,30,42,-0.738309399711625,-3.25382444642961,0.0232247300592526,7.83889305808004,-9.67778611616008,132.685239192147,58.4022943300631
"43",2,30,43,2.05637523338561,-0.594556316513394,-0.73035682090853,2.13889281611485,1.72221436777030,44.8224187482597,58.4022943300631
"44",2,30,44,3.60662490086928,-1.53076650330581,0.0620747687027034,2.27776914899494,1.44446170201012,56.3895692946651,58.4022943300631
"45",2,30,45,-1.70080480626637,4.36092841382591,0.246864869972579,0.798282824424628,4.40343435115074,47.1428220497455,58.4022943300631
"46",2,30,46,-0.751951851333306,-5.18964134293682,-0.267106542955782,6.18304023966579,-6.36608047933157,251.671488161671,58.4022943300631
"47",2,30,47,-0.961781419921552,-3.72823247976892,0.080410596041076,10.8533204029703,-15.7066408059405,154.639744087397,58.4022943300631
"48",2,30,48,-0.117679578492796,-4.42803734320785,-0.287681770646818,2.44249110263265,1.11501779473469,176.918665420736,58.4022943300631
"49",2,30,49,9.01491052270889,-0.638228395638066,-0.920723548364403,2.69822351406690,0.603552971866194,46.7961341817335,58.4022943300631
"50",2,30,50,3.73279680365686,-1.19292702318041,-0.137288965435425,3.41293686990764,-0.825873739815282,55.8158239007784,58.4022943300631
"51",2,30,51,-2.24659376046192,-0.677911204371866,0.153922509515622,5.62252416568375,-5.2450483313675,73.1427812356677,58.4022943300631
"52",2,30,52,-0.524848461845537,-2.98031489043724,-0.0743345135548265,6.5709458516869,-7.1418917033738,126.385922403878,58.4022943300631
"53",2,30,53,-0.467163612523473,-3.03968260246798,-0.157607785300661,6.88929804966412,-7.77859609932825,138.605114083319,58.4022943300631
"54",2,30,54,3.35517679020753,-1.25060024676766,-0.299524785474195,5.24014462254861,-4.48028924509723,62.707871403777,58.4022943300631
"55",2,30,55,2.40785432924504,-0.796767143015122,-0.821130392189382,4.09368289660927,-2.18736579321854,52.0185122655595,58.4022943300631
"56",2,30,56,-0.0928918536398212,-4.8596869983276,-0.514171981911932,3.38112156643439,-0.762243132868773,277.858539800417,58.4022943300631
"57",2,30,57,-1.04911280113129,-1.04913081901512,-1.75843718297229,10.4120805624722,-14.8241611249443,68.638076787952,58.4022943300631
"58",2,30,58,-1.33543905746121,0.355447349094845,-0.642504402305103,0.155758293158752,5.6884834136825,34.4712515822681,58.4022943300631
"59",2,30,59,-0.597792976434418,-5.89529071024691,-0.688222899848063,5.7132030029582,-5.4264060059164,542.619496440672,58.4022943300631
"60",2,30,60,3.755378349085,-0.905517307241896,-0.000528161241236187,1.69539691112318,2.60920617775364,45.3535859997145,58.4022943300631
"61",2,30,61,-0.606653352363564,-3.06156433709205,0.157959605545807,5.14001416623402,-4.28002833246804,100.311430061938,58.4022943300631
"62",2,30,62,4.54162507472692,-1.00928250961015,-0.266472011454375,3.53262313088085,-1.06524626176169,53.3028064474887,58.4022943300631
"63",2,30,63,-0.51111140074497,-4.74379765961747,-0.529555810345552,6.65365092277133,-7.30730184554267,339.609408597992,58.4022943300631
"64",2,30,64,-0.55925808883123,-0.559258431766012,-0.553245403731138,2.44111396886512,1.11777206226976,45.5263834705008,58.4022943300631
"65",2,30,65,-0.498269943518058,-2.52697915311778,-0.0530501028524609,7.3183400738703,-8.6366801477406,109.872687610661,58.4022943300631
"66",2,30,66,-1.73241610531671,-0.268225519849500,0.00117158336800502,1.87964563193051,2.24070873613898,50.335039243262,58.4022943300631
"67",2,30,67,-1.98345894794697,-0.0974826328517708,-0.546206201180181,0.596000112754177,4.80799977449165,39.6682232668513,58.4022943300631
"68",2,30,68,0.439395841317599,-2.96828346832754,-0.0616721607987782,2.36509751902452,1.26980496195095,94.4262503194803,58.4022943300631
"69",2,30,69,-1.78953481589994,-0.332949327506974,0.0157066323012585,2.22801917870645,1.54396164258709,52.459673992468,58.4022943300631
"70",2,30,70,0.0587498625629476,-2.4989134366383,-0.379542856878012,9.41705843722412,-12.8341168744482,133.441782553356,58.4022943300631
"71",2,30,71,-1.06597383540272,-5.82711540174325,-0.0398725733859263,11.3990996815907,-16.7981993631814,226.373857707549,58.4022943300631
"72",2,30,72,-0.605745677023705,-0.605745615088494,-0.393750036468378,2.85859901262955,0.282801974740907,47.0095617609988,58.4022943300631
"73",2,30,73,-0.379476337218344,-0.37947171640975,-1.30045589048849,1.29266009601112,3.41467980797776,40.8626549375586,58.4022943300631
"74",2,30,74,-0.532296739103091,-4.70035708557363,-0.317726358058996,4.61422943235667,-3.22845886471333,230.501522393463,58.4022943300631
